# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_n_rrup.ini
# Process start: 2017-09-25T10:45:59.942021
# Process finish: 2017-09-25T13:21:20.856869
# rup_dim_model = HB08, mech = N, LW = False, AR = 1.7, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,97.100906,96.167894,94.951385,93.376301,91.355617,88.795931,85.612533,81.763573,77.320930,72.601782,68.318725,65.869191,64.661937,64.121654,63.953036,63.921201,63.918267,63.918175,63.918175,63.918175,63.918175
0.125893,77.132730,76.391397,75.424901,74.173592,72.568339,70.534949,68.006137,64.948653,61.419581,57.670857,54.268512,52.322655,51.363711,50.934673,50.800833,50.775617,50.773309,50.773237,50.773237,50.773237,50.773237
0.158489,61.272190,60.683045,59.915086,58.920910,57.645599,56.030216,54.021315,51.592483,48.789051,45.811120,43.108291,41.562448,40.800685,40.459952,40.353699,40.333724,40.331908,40.331853,40.331853,40.331853,40.331853
0.199526,48.674670,48.206326,47.595996,46.806001,45.792711,44.509307,42.913332,40.983802,38.756715,36.390996,34.243745,33.015553,32.410341,32.139672,32.055287,32.039452,32.038023,32.037980,32.037980,32.037980,32.037980
0.251189,38.669330,38.296826,37.811607,37.183713,36.378474,35.358697,34.090651,32.557662,30.788315,28.908824,27.202807,26.226827,25.745878,25.530765,25.463693,25.451122,25.449995,25.449962,25.449962,25.449962,25.449962
0.316228,30.723382,30.426854,30.040887,29.541640,28.901557,28.091090,27.083439,25.865349,24.459509,22.966151,21.610519,20.834797,20.452466,20.281423,20.228076,20.218081,20.217188,20.217162,20.217162,20.217162,20.217162
0.398107,24.413710,24.177341,23.870042,23.472834,22.963805,22.319474,21.518547,20.550481,19.433274,18.246514,17.169068,16.552307,16.248268,16.112223,16.069792,16.061837,16.061124,16.061103,16.061103,16.061103,16.061103
0.501187,19.404301,19.215518,18.970491,18.654142,18.249037,17.736510,17.099638,16.330031,15.441957,14.498583,13.641934,13.151287,12.909388,12.801141,12.767372,12.761048,12.760483,12.760466,12.760466,12.760466,12.760466
0.630957,15.428315,15.277167,15.081360,14.828992,14.506207,14.098167,13.591414,12.979263,12.273014,11.522783,10.841299,10.450634,10.257978,10.171763,10.144869,10.139859,10.139422,10.139410,10.139410,10.139410,10.139410
0.794328,12.273925,12.152501,11.995567,11.793728,11.536045,11.210729,10.807080,10.319763,9.757710,9.160654,8.618036,8.306520,8.152823,8.084016,8.062556,8.058575,8.058235,8.058226,8.058226,8.058226,8.058226
