# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: figure3_mid.ini
# Process start: 2017-09-11T15:44:27.508325
# Process finish: 2017-09-11T15:49:56.896331
# rup_dim_model = HB08, mech = SS, LW = False, AR = 1.7, ndip = 4, mindip = 1.308997, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.318846,0.271797,0.231987,0.201186,0.178008,0.161079,0.148857,0.139770,0.132988,0.127975,0.124262,0.122261,0.121331,0.120961,0.120869,0.120861,0.120861,0.120861,0.120861,0.120861,0.120861
0.125893,0.360103,0.308985,0.263152,0.225132,0.195989,0.174164,0.158327,0.146803,0.138251,0.131868,0.127140,0.124548,0.123325,0.122826,0.122704,0.122693,0.122693,0.122693,0.122693,0.122693,0.122693
0.158489,0.403512,0.349528,0.299351,0.254828,0.218632,0.191092,0.170550,0.155742,0.144902,0.136813,0.130818,0.127491,0.125929,0.125279,0.125113,0.125099,0.125099,0.125099,0.125099,0.125099,0.125099
0.199526,0.447216,0.392558,0.339114,0.289912,0.246856,0.212474,0.186467,0.167190,0.153293,0.143089,0.135474,0.131254,0.129276,0.128469,0.128266,0.128249,0.128249,0.128249,0.128249,0.128249,0.128249
0.251189,0.489184,0.436377,0.381627,0.328898,0.280720,0.239242,0.206677,0.182098,0.164037,0.151014,0.141388,0.136048,0.133514,0.132464,0.132199,0.132176,0.132176,0.132176,0.132176,0.132176,0.132176
0.316228,0.528163,0.478942,0.425481,0.370802,0.318846,0.271797,0.231987,0.201186,0.178008,0.161079,0.148875,0.142107,0.138917,0.137593,0.137259,0.137231,0.137231,0.137231,0.137231,0.137231,0.137231
0.398107,0.563998,0.518721,0.468512,0.414496,0.360103,0.308985,0.263152,0.225132,0.195989,0.174164,0.158349,0.149774,0.145738,0.144070,0.143646,0.143610,0.143610,0.143610,0.143610,0.143610,0.143610
0.501187,0.597373,0.555304,0.509081,0.457944,0.403512,0.349528,0.299351,0.254828,0.218632,0.191092,0.170578,0.159547,0.154360,0.152238,0.151702,0.151656,0.151656,0.151656,0.151656,0.151656,0.151656
0.630957,0.629365,0.589204,0.546439,0.499233,0.447216,0.392558,0.339114,0.289912,0.246856,0.212474,0.186502,0.172102,0.165343,0.162584,0.161898,0.161840,0.161840,0.161840,0.161840,0.161840,0.161840
0.794328,0.661271,0.621429,0.580928,0.537399,0.489184,0.436377,0.381627,0.328898,0.280720,0.239242,0.206721,0.188240,0.179408,0.175683,0.174725,0.174643,0.174643,0.174643,0.174643,0.174643,0.174643
1.000000,0.694516,0.653228,0.613464,0.572533,0.528163,0.478942,0.425481,0.370802,0.318846,0.271797,0.232039,0.208633,0.197264,0.192336,0.190971,0.190805,0.190798,0.190798,0.190798,0.190798,0.190798
1.258925,0.730300,0.686000,0.645242,0.605453,0.563998,0.518721,0.468512,0.414496,0.360103,0.308985,0.263218,0.234250,0.219944,0.213435,0.211469,0.211164,0.211147,0.211147,0.211147,0.211147,0.211147
1.584893,0.768121,0.721099,0.677634,0.637297,0.597373,0.555304,0.509081,0.457944,0.403512,0.349528,0.299436,0.265533,0.248346,0.240116,0.237418,0.236875,0.236783,0.236775,0.236775,0.236775,0.236775
1.995262,0.805181,0.758606,0.712056,0.669400,0.629365,0.589204,0.546439,0.499233,0.447216,0.392558,0.339215,0.301967,0.282750,0.273187,0.269697,0.268779,0.268572,0.268554,0.268553,0.268553,0.268553
2.511886,0.838829,0.796160,0.749101,0.703198,0.661271,0.621429,0.580928,0.537399,0.489184,0.436377,0.381734,0.341731,0.320743,0.309911,0.305671,0.304340,0.303914,0.303814,0.303805,0.303805,0.303805
