# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_n_rjb.ini
# Process start: 2017-09-14T06:51:14.973005
# Process finish: 2017-09-14T07:00:18.518299
# rup_dim_model = HB08, mech = N, LW = False, AR = 1.7, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
39.810717,0.985169,0.980256,0.973731,0.965079,0.953626,0.938507,0.918617,0.892580,0.858733,0.815170,0.759955,0.692518,0.637429,0.584225,0.539507,0.506473,0.484155,0.469645,0.460287,0.454302,0.450570
50.118723,0.988208,0.984295,0.979095,0.972190,0.963037,0.950927,0.934950,0.913950,0.886494,0.850861,0.805116,0.746625,0.695695,0.642458,0.593938,0.555810,0.529150,0.511637,0.500301,0.493019,0.488418
63.095734,0.990625,0.987512,0.983370,0.977866,0.970559,0.960877,0.948075,0.931194,0.909027,0.880081,0.842585,0.793118,0.747641,0.696214,0.644990,0.601695,0.570006,0.548803,0.535022,0.526137,0.520452
79.432823,0.992549,0.990072,0.986775,0.982391,0.976565,0.968834,0.958594,0.945059,0.927227,0.903833,0.873327,0.832212,0.792683,0.744713,0.692735,0.645096,0.607974,0.582286,0.565463,0.554580,0.547587
100.000000,0.994078,0.992108,0.989485,0.985995,0.981354,0.975188,0.967009,0.956179,0.941873,0.923038,0.898355,0.864576,0.831037,0.787868,0.737214,0.686587,0.644137,0.613316,0.592732,0.579360,0.570735
125.892541,0.995294,0.993728,0.991642,0.988865,0.985169,0.980256,0.973731,0.965079,0.953626,0.938507,0.918617,0.891094,0.863138,0.825406,0.777923,0.726390,0.679474,0.643106,0.617949,0.601466,0.590800
158.489319,0.996261,0.995016,0.993357,0.991148,0.988208,0.984295,0.979095,0.972190,0.963037,0.950927,0.934950,0.912657,0.889641,0.857501,0.814646,0.764356,0.714395,0.672619,0.642229,0.621894,0.608678
199.526231,0.997029,0.996040,0.994721,0.992965,0.990625,0.987512,0.983370,0.977866,0.970559,0.960877,0.948075,0.930097,0.911316,0.884448,0.846932,0.799802,0.748931,0.702632,0.666602,0.641593,0.625187
251.188643,0.997640,0.996853,0.995805,0.994409,0.992549,0.990072,0.986775,0.982391,0.976565,0.968834,0.958594,0.944144,0.928915,0.906749,0.874765,0.832256,0.782638,0.733299,0.691816,0.661479,0.641124
316.227766,0.998125,0.997500,0.996667,0.995557,0.994078,0.992108,0.989485,0.985995,0.981354,0.975188,0.967009,0.955425,0.943134,0.925018,0.898262,0.861085,0.814658,0.764461,0.718450,0.682389,0.657251
398.107171,0.998510,0.998014,0.997352,0.996470,0.995294,0.993728,0.991642,0.988865,0.985169,0.980256,0.973731,0.964462,0.954577,0.939870,0.917784,0.886120,0.844312,0.795423,0.746443,0.704916,0.674352
501.187234,0.998817,0.998422,0.997896,0.997195,0.996261,0.995016,0.993357,0.991148,0.988208,0.984295,0.979095,0.971690,0.963761,0.951879,0.933821,0.907348,0.870849,0.825218,0.775506,0.729498,0.693145
630.957344,0.999060,0.998747,0.998329,0.997772,0.997029,0.996040,0.994721,0.992965,0.990625,0.987512,0.983370,0.977461,0.971114,0.961551,0.946886,0.925043,0.894000,0.853002,0.804722,0.755891,0.714103
794.328235,0.999253,0.999004,0.998672,0.998230,0.997640,0.996853,0.995805,0.994409,0.992549,0.990072,0.986775,0.982065,0.976993,0.969318,0.957467,0.939611,0.913683,0.877972,0.833066,0.783691,0.737516
1000.000000,0.999407,0.999209,0.998945,0.998594,0.998125,0.997500,0.996667,0.995557,0.994078,0.992108,0.989485,0.985734,0.981686,0.975540,0.965999,0.951500,0.930122,0.899802,0.859570,0.811801,0.763004
