# Program: ./run_ps2ff
# Config file: ../ps2ff/config/scr_a.ini
# Process start: 2018-01-02T12:12:14.823280
# Process finish: 2018-01-02T13:39:33.171711
# rup_dim_model = S14, mech = A, LW = False, AR = 1.0, ndip = 17, mindip = 0.174533, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.138505,0.111025,0.089385,0.072723,0.060177,0.050923,0.044288,0.039802,0.036982,0.035297,0.034338,0.033869,0.033701,0.033665,0.033662,0.033662,0.033662,0.033662,0.033662,0.033662,0.033662
0.125893,0.165328,0.132480,0.106254,0.085696,0.069941,0.058106,0.049397,0.043211,0.039113,0.036610,0.035211,0.034534,0.034288,0.034234,0.034230,0.034230,0.034230,0.034230,0.034230,0.034230,0.034230
0.158489,0.197135,0.158186,0.126731,0.101697,0.082172,0.067294,0.056157,0.047977,0.042223,0.038533,0.036445,0.035455,0.035097,0.035018,0.035012,0.035012,0.035012,0.035012,0.035012,0.035012,0.035012
0.199526,0.234473,0.188694,0.151336,0.121232,0.097345,0.078808,0.064766,0.054308,0.046671,0.041421,0.038275,0.036763,0.036236,0.036121,0.036112,0.036112,0.036112,0.036112,0.036112,0.036112,0.036112
0.251189,0.277916,0.224575,0.180580,0.144766,0.115991,0.093247,0.075668,0.062399,0.052576,0.045547,0.041009,0.038647,0.037777,0.037587,0.037570,0.037570,0.037570,0.037570,0.037570,0.037570,0.037570
0.316228,0.327979,0.266451,0.215064,0.172807,0.138505,0.111025,0.089385,0.072723,0.060187,0.051055,0.044888,0.041399,0.039949,0.039576,0.039534,0.039533,0.039533,0.039533,0.039533,0.039533,0.039533
0.398107,0.384854,0.314831,0.255399,0.205913,0.165328,0.132480,0.106254,0.085696,0.069953,0.058267,0.050144,0.045242,0.042966,0.042254,0.042137,0.042130,0.042130,0.042130,0.042130,0.042130,0.042130
0.501187,0.448138,0.369999,0.302111,0.244744,0.197135,0.158186,0.126731,0.101697,0.082185,0.067478,0.057055,0.050504,0.047137,0.045859,0.045542,0.045501,0.045499,0.045499,0.045499,0.045499,0.045499
0.630957,0.516248,0.431789,0.355560,0.289807,0.234473,0.188694,0.151336,0.121232,0.097362,0.079040,0.065857,0.057369,0.052717,0.050674,0.050010,0.049871,0.049858,0.049858,0.049858,0.049858,0.049858
0.794328,0.585954,0.498938,0.415783,0.341555,0.277916,0.224575,0.180580,0.144766,0.116013,0.093538,0.077008,0.066120,0.059959,0.057027,0.055878,0.055530,0.055464,0.055459,0.055459,0.055459,0.055459
1.000000,0.653127,0.568550,0.481759,0.400128,0.327979,0.266451,0.215064,0.172807,0.138531,0.111386,0.091071,0.077386,0.069357,0.065269,0.063464,0.062804,0.062631,0.062603,0.062601,0.062601,0.062601
1.258925,0.714244,0.636778,0.551085,0.464803,0.384854,0.314831,0.255399,0.205913,0.165362,0.132933,0.108356,0.091478,0.081270,0.075797,0.073186,0.072110,0.071764,0.071683,0.071672,0.071671,0.071671
1.584893,0.767171,0.699703,0.620116,0.533640,0.448138,0.369999,0.302111,0.244744,0.197176,0.158737,0.129302,0.108804,0.096132,0.089071,0.085447,0.083786,0.083169,0.082998,0.082965,0.082962,0.082962
