# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: scr_n_rrup.ini
# Process start: 2017-09-26T01:45:04.444526
# Process finish: 2017-09-26T04:03:25.326480
# rup_dim_model = S14, mech = N, LW = False, AR = 1.0, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,72.152339,71.250032,70.084049,68.592235,66.709942,64.383148,61.597085,58.430771,55.131452,52.132320,49.893007,48.609619,48.089768,47.957501,47.940921,47.940123,47.940124,47.940124,47.940124,47.940124,47.940124
0.125893,57.316245,56.599198,55.672748,54.487506,52.992114,51.143656,48.930394,46.415086,43.794112,41.411573,39.632618,38.613101,38.200207,38.095207,38.082065,38.081433,38.081434,38.081434,38.081434,38.081434,38.081434
0.158489,45.532533,44.962538,44.226267,43.284467,42.096332,40.627766,38.869436,36.871180,34.788973,32.896135,31.482766,30.672749,30.344727,30.261338,30.250912,30.250412,30.250413,30.250413,30.250413,30.250413,30.250413
0.199526,36.173715,35.720388,35.135062,34.386532,33.442369,32.275478,30.878435,29.290811,27.636480,26.132538,25.009464,24.365750,24.105047,24.038767,24.030482,24.030084,24.030085,24.030085,24.030085,24.030085,24.030085
0.251189,28.741451,28.380611,27.915027,27.319879,26.569388,25.642016,24.531852,23.270305,21.955745,20.760611,19.868032,19.356337,19.149049,19.096327,19.089731,19.089414,19.089414,19.089414,19.089414,19.089414,19.089414
0.316228,22.840008,22.552398,22.181717,21.708222,21.111407,20.374147,19.491724,18.489060,17.444257,16.494279,15.784661,15.377759,15.212886,15.170946,15.165699,15.165447,15.165448,15.165448,15.165448,15.165448,15.165448
0.398107,18.155176,17.925449,17.629880,17.252772,16.777811,16.191370,15.489671,14.692476,13.861776,13.106351,12.541901,12.218137,12.086934,12.053572,12.049408,12.049208,12.049209,12.049209,12.049209,12.049209,12.049209
0.501187,14.437525,14.253445,14.017201,13.716337,13.337883,12.870985,12.312608,11.678400,11.017546,10.416433,9.967083,9.709202,9.604660,9.578082,9.574771,9.574613,9.574613,9.574613,9.574613,9.574613,9.574613
0.630957,11.489106,11.340912,11.151390,10.910691,10.608521,10.236240,9.791398,9.286365,8.760134,8.281300,7.923098,7.717330,7.633837,7.612593,7.609945,7.609818,7.609818,7.609818,7.609818,7.609818,7.609818
0.794328,9.152864,9.032792,8.879926,8.686537,8.444491,8.146925,7.791860,7.389051,6.969377,6.587293,6.301143,6.136515,6.069605,6.052545,6.050406,6.050297,6.050297,6.050297,6.050297,6.050297,6.050297
1.000000,7.304195,7.206128,7.081899,6.925542,6.730685,6.491908,6.207626,5.885513,5.549986,5.244261,5.014894,4.882603,4.828665,4.814830,4.813055,4.812949,4.812947,4.812947,4.812947,4.812947,4.812947
