# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_n_rjb.ini
# Process start: 2017-09-14T06:51:14.973005
# Process finish: 2017-09-14T07:00:18.518362
# rup_dim_model = HB08, mech = N, LW = False, AR = 1.7, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000358,0.000282,0.000223,0.000178,0.000146,0.000126,0.000113,0.000104,0.000101,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100
0.125893,0.000684,0.000541,0.000426,0.000337,0.000270,0.000224,0.000195,0.000175,0.000164,0.000160,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159
0.158489,0.001296,0.001035,0.000817,0.000644,0.000510,0.000411,0.000344,0.000301,0.000273,0.000258,0.000253,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252
0.199526,0.002426,0.001966,0.001565,0.001235,0.000973,0.000773,0.000627,0.000530,0.000467,0.000426,0.000406,0.000401,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.251189,0.004459,0.003694,0.002980,0.002367,0.001866,0.001472,0.001172,0.000957,0.000816,0.000725,0.000667,0.000646,0.000637,0.000634,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633
0.316228,0.007975,0.006825,0.005618,0.004515,0.003578,0.002819,0.002227,0.001780,0.001464,0.001259,0.001126,0.001059,0.001026,0.001012,0.001008,0.001008,0.001008,0.001008,0.001008,0.001008,0.001008
0.398107,0.013704,0.012302,0.010431,0.008537,0.006836,0.005408,0.004259,0.003370,0.002704,0.002243,0.001947,0.001781,0.001692,0.001647,0.001631,0.001627,0.001627,0.001627,0.001627,0.001627,0.001627
0.501187,0.022326,0.021383,0.018936,0.015919,0.012961,0.010346,0.008171,0.006438,0.005103,0.004114,0.003443,0.003072,0.002864,0.002749,0.002703,0.002691,0.002689,0.002689,0.002689,0.002689,0.002689
0.630957,0.034319,0.035335,0.033255,0.029085,0.024264,0.019659,0.015651,0.012347,0.009733,0.007732,0.006270,0.005433,0.004966,0.004708,0.004601,0.004571,0.004566,0.004566,0.004566,0.004566,0.004566
0.794328,0.050076,0.055093,0.055721,0.051567,0.044592,0.036944,0.029804,0.023667,0.018656,0.014717,0.011725,0.009870,0.008826,0.008246,0.008007,0.007941,0.007932,0.007931,0.007931,0.007931,0.007931
1.000000,0.069200,0.081398,0.088147,0.087541,0.079748,0.068252,0.056180,0.045151,0.035778,0.028187,0.022266,0.018374,0.016096,0.014775,0.014212,0.014055,0.014034,0.014032,0.014032,0.014032,0.014032
1.258925,0.088427,0.114198,0.131902,0.140538,0.137044,0.123024,0.104314,0.085372,0.068363,0.054078,0.042595,0.034781,0.030022,0.027090,0.025743,0.025331,0.025264,0.025260,0.025260,0.025260,0.025260
1.584893,0.102468,0.149210,0.187629,0.213089,0.223262,0.213825,0.189355,0.159188,0.129607,0.103458,0.081712,0.066421,0.056828,0.050617,0.047496,0.046386,0.046149,0.046128,0.046128,0.046128,0.046128
1.995262,0.110181,0.177161,0.250302,0.307069,0.343189,0.353353,0.332547,0.290847,0.242640,0.196594,0.156515,0.127321,0.108476,0.095759,0.088862,0.086085,0.085339,0.085224,0.085217,0.085217,0.085217
2.511886,0.114472,0.193293,0.304525,0.417312,0.500763,0.550933,0.557213,0.515674,0.445924,0.369437,0.298043,0.243845,0.207782,0.182549,0.168049,0.161497,0.159308,0.158822,0.158778,0.158777,0.158777
3.162278,0.117128,0.202000,0.338238,0.520643,0.691996,0.813977,0.881473,0.875413,0.797475,0.682519,0.561802,0.464525,0.397507,0.349092,0.319757,0.305146,0.299463,0.297858,0.297592,0.297574,0.297574
3.981072,0.118838,0.207297,0.356073,0.589788,0.884272,1.141982,1.319018,1.405383,1.370436,1.230235,1.043139,0.876635,0.756083,0.665927,0.609069,0.578764,0.565257,0.560484,0.559388,0.559294,0.559293
5.011872,0.119965,0.210684,0.366666,0.626862,1.024684,1.492103,1.876291,2.130887,2.232624,2.138252,1.893553,1.630454,1.423750,1.262361,1.156512,1.096554,1.066827,1.054736,1.051278,1.050734,1.050701
6.309573,0.120722,0.212904,0.373383,0.648118,1.101810,1.771607,2.503020,3.070691,3.431886,3.533535,3.325470,2.968336,2.640063,2.365690,2.177160,2.065180,2.005536,1.977826,1.968022,1.965935,1.965840
7.943282,0.121238,0.214389,0.377762,0.661462,1.144720,1.932934,3.045253,4.173119,5.007630,5.509332,5.572132,5.240373,4.785006,4.356464,4.041996,3.845405,3.733105,3.675271,3.652340,3.646550,3.645943
10.000000,0.121594,0.215397,0.380677,0.670112,1.171280,2.019996,3.382378,5.206433,6.919959,8.139769,8.814731,8.870228,8.391678,7.815985,7.341168,7.022614,6.830041,6.724119,6.676698,6.662018,6.660223
12.589254,0.121841,0.216090,0.382649,0.675840,1.188383,2.072969,3.560732,5.897881,8.842725,11.419818,13.190181,14.253570,14.064793,13.497735,12.902862,12.454986,12.162684,11.988651,11.903520,11.877552,11.876282
15.848932,0.122018,0.216572,0.384002,0.679701,1.199654,2.106839,3.666655,6.268623,10.246842,14.921026,18.762909,21.671275,22.339599,22.200322,21.713070,21.231017,20.869263,20.637993,20.522559,20.488324,20.492089
19.952623,0.122154,0.216912,0.384939,0.682341,1.207221,2.129044,3.733828,6.481179,11.018102,17.716071,25.030203,31.238352,33.708744,34.767753,34.911901,34.710453,34.453638,34.250268,34.141081,34.124509,34.168009
25.118864,0.122262,0.217168,0.385596,0.684168,1.212378,2.143886,3.777624,6.614624,11.447199,19.329341,30.452531,42.522129,48.514115,52.226661,54.089745,54.901080,55.186228,55.251921,55.298229,55.397964,55.535109
31.622777,0.122350,0.217372,0.386081,0.685440,1.215938,2.153965,3.806768,6.701116,11.712798,20.199961,33.823778,54.011791,66.316975,75.764282,81.868970,85.359586,87.190638,88.106742,88.624368,89.001747,89.360207
39.810717,0.122420,0.217536,0.386464,0.686365,1.218410,2.160905,3.826486,6.758399,11.883828,20.729687,35.607322,63.726193,85.235680,105.459498,120.990880,130.965241,136.611254,139.630636,141.333917,142.443034,143.302233
50.118723,0.122476,0.217668,0.386773,0.687085,1.220179,2.165717,3.840018,6.797007,11.996544,21.068393,36.666554,71.021045,103.511334,140.366372,173.608059,197.461912,211.875782,219.800350,224.260594,226.961145,228.806975
63.095734,0.122521,0.217774,0.387021,0.687664,1.221535,2.169117,3.849392,6.823415,12.072210,21.290437,37.338282,76.279095,119.909349,178.909399,241.340529,291.611729,324.403072,343.205276,353.774131,360.012613,364.064630
79.432823,0.122557,0.217859,0.387220,0.688130,1.222622,2.171679,3.855958,6.841680,12.123777,21.438863,37.776243,79.898000,134.297289,219.926984,324.038054,419.330974,488.346102,530.586457,554.501628,568.391309,576.944565
100.000000,0.122586,0.217926,0.387379,0.688504,1.223497,2.173719,3.860814,6.854405,12.159377,21.539651,38.067682,82.417162,145.330992,258.496931,417.506640,585.067573,720.462366,810.037291,862.665865,892.934148,911.108712
125.892541,0.122609,0.217980,0.387506,0.688803,1.224200,2.175362,3.864645,6.863650,12.184101,21.609049,38.264857,84.119841,153.271501,293.036028,517.256072,787.072991,1034.801119,1216.538415,1329.823963,1395.186219,1433.656989
158.489319,0.122627,0.218023,0.387607,0.689042,1.224762,2.176682,3.867730,6.870851,12.201789,21.657168,38.400184,85.323541,158.922981,319.727658,611.184525,1015.289921,1441.676447,1790.406401,2024.994060,2164.976158,2246.359173
199.526231,0.122641,0.218057,0.387688,0.689233,1.225212,2.177740,3.870210,6.876642,12.215353,21.691173,38.493917,86.196578,162.839511,339.261843,694.996711,1256.727728,1934.142730,2564.252524,3033.288112,3329.502742,3502.098784
251.188643,0.122653,0.218084,0.387753,0.689385,1.225571,2.178586,3.872199,6.881301,12.226221,21.716789,38.559584,86.840303,165.669088,353.255784,759.316086,1482.922253,2488.570058,3562.037367,4452.202431,5058.764656,5424.383008
316.227766,0.122662,0.218106,0.387804,0.689506,1.225857,2.179262,3.873790,6.885040,12.234972,21.737188,38.608136,87.321421,167.761159,363.109215,806.688285,1682.980301,3068.684056,4760.326521,6357.844283,7562.491278,8330.707048
398.107171,0.122669,0.218123,0.387845,0.689603,1.226085,2.179800,3.875061,6.888032,12.241998,21.753621,38.646445,87.687176,169.333404,370.319400,840.573893,1834.742158,3608.452739,6103.313413,8804.037865,11074.413204,12640.274662
501.187234,0.122675,0.218137,0.387877,0.689679,1.226267,2.180230,3.876074,6.890422,12.247624,21.766823,38.677296,87.970575,170.532180,375.708691,864.654838,1946.789625,4079.627590,7488.105506,11711.814699,15764.811744,18860.758048
630.957344,0.122679,0.218148,0.387903,0.689741,1.226412,2.180571,3.876883,6.892330,12.252121,21.777402,38.702101,88.192829,171.457641,379.799281,882.390064,2026.612162,4433.074593,8767.733264,14951.418841,21745.371500,27540.071634
794.328235,0.122683,0.218156,0.387923,0.689789,1.226526,2.180844,3.877526,6.893851,12.255711,21.785861,38.721988,88.368236,172.179003,382.938936,895.705436,2083.687701,4694.137839,9867.089108,18238.137658,28778.918294,39062.302407
1000.000000,0.122686,0.218163,0.387940,0.689828,1.226618,2.181060,3.878038,6.895063,12.258574,21.792616,38.737898,88.507194,172.745068,385.370821,905.842340,2125.863391,4879.367054,10684.387447,21257.789374,36565.355567,53644.302335
