# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: acr_r_rjb.ini
# Process start: 2017-09-13T13:05:34.944363
# Process finish: 2017-09-13T13:10:08.590330
# rup_dim_model = HB08, mech = R, LW = False, AR = 1.7, ndip = 4, mindip = 0.610865, maxdip = 0.872665, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000327,0.000257,0.000203,0.000163,0.000136,0.000118,0.000108,0.000102,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100
0.125893,0.000626,0.000494,0.000389,0.000308,0.000249,0.000208,0.000183,0.000168,0.000161,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159
0.158489,0.001193,0.000947,0.000746,0.000587,0.000467,0.000379,0.000321,0.000285,0.000263,0.000254,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252
0.199526,0.002250,0.001807,0.001432,0.001127,0.000888,0.000708,0.000578,0.000494,0.000443,0.000412,0.000401,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.251189,0.004176,0.003418,0.002737,0.002164,0.001702,0.001344,0.001075,0.000884,0.000764,0.000690,0.000648,0.000638,0.000634,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633
0.316228,0.007582,0.006374,0.005189,0.004141,0.003269,0.002572,0.002034,0.001633,0.001356,0.001183,0.001076,0.001031,0.001011,0.001005,0.001004,0.001004,0.001004,0.001004,0.001004,0.001004,0.001004
0.398107,0.013314,0.011646,0.009716,0.007872,0.006264,0.004938,0.003886,0.003081,0.002485,0.002082,0.001834,0.001704,0.001637,0.001605,0.001594,0.001592,0.001592,0.001592,0.001592,0.001592,0.001592
0.501187,0.022262,0.020647,0.017855,0.014791,0.011932,0.009471,0.007459,0.005875,0.004669,0.003788,0.003205,0.002894,0.002715,0.002612,0.002567,0.002554,0.002552,0.002552,0.002552,0.002552,0.002552
0.630957,0.034929,0.035007,0.031931,0.027328,0.022495,0.018075,0.014317,0.011268,0.008884,0.007081,0.005782,0.005054,0.004632,0.004375,0.004251,0.004208,0.004199,0.004198,0.004198,0.004198,0.004198
0.794328,0.051378,0.055848,0.054838,0.049259,0.041764,0.034183,0.027368,0.021635,0.017022,0.013439,0.010749,0.009090,0.008118,0.007522,0.007234,0.007132,0.007110,0.007107,0.007107,0.007107,0.007107
1.000000,0.071014,0.083433,0.088923,0.085590,0.075817,0.063738,0.051887,0.041414,0.032688,0.025717,0.020343,0.016805,0.014645,0.013266,0.012585,0.012349,0.012300,0.012295,0.012294,0.012294,0.012294
1.258925,0.090560,0.117226,0.134985,0.140990,0.133139,0.116457,0.097158,0.078716,0.062641,0.049383,0.038864,0.031686,0.027129,0.024058,0.022437,0.021828,0.021690,0.021677,0.021676,0.021676,0.021676
1.584893,0.104633,0.152904,0.192626,0.217560,0.222617,0.206475,0.178548,0.147909,0.119323,0.094715,0.074591,0.060433,0.051197,0.044671,0.040939,0.039377,0.038962,0.038908,0.038905,0.038905,0.038905
1.995262,0.112183,0.181040,0.256641,0.315207,0.349286,0.350070,0.319312,0.273280,0.224954,0.180747,0.143173,0.115883,0.097629,0.084269,0.076146,0.072359,0.071128,0.070886,0.070867,0.070867,0.070867
2.511886,0.116331,0.196934,0.311433,0.428084,0.513778,0.558478,0.548380,0.492588,0.417645,0.341827,0.273677,0.222370,0.187163,0.160619,0.143652,0.134932,0.131607,0.130761,0.130649,0.130643,0.130643
3.162278,0.118895,0.205359,0.344849,0.532846,0.710141,0.834327,0.889231,0.855898,0.758168,0.637379,0.518867,0.425227,0.359048,0.307696,0.273440,0.254537,0.246326,0.243666,0.243106,0.243060,0.243060
3.981072,0.120544,0.210473,0.362155,0.601766,0.905600,1.172262,1.349853,1.409902,1.331388,1.164565,0.971578,0.807055,0.686013,0.589402,0.522797,0.483796,0.464745,0.457398,0.455437,0.455169,0.455153
5.011872,0.121630,0.213741,0.372382,0.637889,1.046326,1.529044,1.926257,2.175604,2.226171,2.064748,1.785484,1.513622,1.300627,1.124339,0.998600,0.921451,0.880712,0.862703,0.856601,0.855301,0.855203
6.309573,0.122358,0.215880,0.378864,0.658419,1.121833,1.810403,2.566415,3.152074,3.492864,3.500697,3.193121,2.789161,2.435538,2.126492,1.897653,1.751794,1.669525,1.628471,1.612161,1.607869,1.607332
