# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: figure4_bot.ini
# Process start: 2017-09-12T12:07:54.058654
# Process finish: 2017-09-12T16:22:12.224919
# rup_dim_model = S14, mech = R, LW = False, AR = 1.0, ndip = 7, mindip = 0.523599, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
1.000000,7.329678,7.240964,7.129759,6.991505,6.821628,6.616892,6.377903,6.113128,5.843398,5.600387,5.405490,5.268584,5.200479,5.205798,5.236754,5.256174,5.256168,5.256167,5.256167,5.256167,5.256167
1.258925,5.863930,5.790426,5.698645,5.585263,5.446867,5.280983,5.088094,4.874862,4.657743,4.461902,4.304588,4.194035,4.138960,4.142762,4.167181,4.182540,4.182526,4.182524,4.182524,4.182524,4.182524
1.584893,4.709342,4.647984,4.571398,4.477204,4.363030,4.227134,4.069973,3.896806,3.720621,3.561429,3.433250,3.343097,3.298045,3.300448,3.319560,3.331637,3.331599,3.331595,3.331595,3.331595,3.331595
1.995262,3.803127,3.751694,3.687250,3.607992,3.512366,3.399353,3.269526,3.127099,2.982340,2.851200,2.745224,2.670562,2.633014,2.634035,2.648770,2.658155,2.658068,2.658055,2.658054,2.658054,2.658054
2.511886,3.095316,3.052164,2.997728,2.930422,2.849143,2.753476,2.644248,2.524975,2.403838,2.293642,2.204087,2.140776,2.108550,2.108079,2.119102,2.126213,2.126029,2.125991,2.125987,2.125987,2.125987
3.162278,2.546102,2.509955,2.464000,2.406662,2.336895,2.254541,2.160688,2.058473,1.954555,1.859362,1.781311,1.725771,1.696909,1.694705,1.702440,1.707544,1.707186,1.707095,1.707084,1.707083,1.707083
3.981072,2.123686,2.093514,2.054868,2.006149,1.946139,1.874516,1.792331,1.702501,1.610658,1.525520,1.454722,1.403732,1.376352,1.371995,1.376644,1.379877,1.379236,1.379040,1.379005,1.379003,1.379003
5.011872,1.802519,1.777469,1.745164,1.704043,1.652697,1.590379,1.517677,1.437076,1.353473,1.274434,1.207255,1.157857,1.130068,1.122931,1.124474,1.125832,1.124741,1.124352,1.124263,1.124254,1.124254
6.309573,1.561903,1.541243,1.514440,1.480034,1.436534,1.382780,1.318608,1.245653,1.167973,1.092276,1.025834,0.975359,0.945212,0.934416,0.932588,0.931924,0.930171,0.929471,0.929276,0.929247,0.929245
7.943282,1.384880,1.367963,1.345906,1.317387,1.280951,1.235209,1.179300,1.113721,1.041279,0.967691,0.900220,0.846549,0.812139,0.796569,0.790870,0.787906,0.785227,0.784044,0.783649,0.783566,0.783560
