# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: figure3_top.ini
# Process start: 2017-09-11T15:13:07.402313
# Process finish: 2017-09-11T15:43:38.677820
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.7, ndip = 17, mindip = 0.174533, maxdip = 1.570796, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.106946,0.088085,0.073144,0.061575,0.052860,0.046555,0.042098,0.038953,0.036769,0.035293,0.034306,0.033674,0.033338,0.033214,0.033189,0.033188,0.033188,0.033188,0.033188,0.033188,0.033188
0.125893,0.127164,0.104443,0.086083,0.071577,0.060373,0.051973,0.045920,0.041651,0.038643,0.036559,0.035156,0.034255,0.033768,0.033588,0.033552,0.033550,0.033550,0.033550,0.033550,0.033550,0.033550
0.158489,0.151223,0.124180,0.102016,0.084141,0.070055,0.059214,0.051117,0.045313,0.041227,0.038347,0.036363,0.035083,0.034385,0.034120,0.034065,0.034061,0.034061,0.034061,0.034061,0.034061,0.034061
0.199526,0.179605,0.147688,0.121275,0.099649,0.082248,0.068582,0.058091,0.050300,0.044746,0.040825,0.038070,0.036258,0.035264,0.034884,0.034804,0.034799,0.034799,0.034799,0.034799,0.034799,0.034799
0.251189,0.212792,0.175437,0.144231,0.118433,0.097336,0.080407,0.067150,0.057015,0.049533,0.044203,0.040447,0.037915,0.036488,0.035931,0.035809,0.035801,0.035801,0.035801,0.035801,0.035801,0.035801
0.316228,0.251232,0.207932,0.171363,0.140849,0.115646,0.095074,0.078613,0.065767,0.055986,0.048796,0.043691,0.040226,0.038207,0.037376,0.037181,0.037164,0.037164,0.037164,0.037164,0.037164,0.037164
0.398107,0.295264,0.245626,0.203169,0.167367,0.137530,0.112918,0.092866,0.076875,0.064439,0.054997,0.048095,0.043379,0.040584,0.039360,0.039035,0.038997,0.038996,0.038996,0.038996,0.038996,0.038996
0.501187,0.344991,0.288870,0.240118,0.198495,0.163452,0.134281,0.110246,0.090720,0.075203,0.063158,0.054051,0.047648,0.043803,0.042048,0.041507,0.041416,0.041410,0.041410,0.041410,0.041410,0.041410
0.630957,0.400085,0.337821,0.282583,0.234711,0.193921,0.159624,0.131097,0.107643,0.088641,0.073579,0.061929,0.053430,0.048145,0.045649,0.044805,0.044606,0.044575,0.044574,0.044574,0.044574,0.044574
0.794328,0.459524,0.392222,0.330756,0.276407,0.229417,0.189452,0.155869,0.127993,0.105117,0.086623,0.072024,0.061100,0.053988,0.050429,0.049136,0.048770,0.048678,0.048665,0.048665,0.048665,0.048665
1.000000,0.521661,0.451151,0.384449,0.323793,0.270339,0.224237,0.185060,0.152204,0.124986,0.102670,0.084695,0.070961,0.061742,0.056804,0.054806,0.054166,0.053973,0.053928,0.053924,0.053924,0.053924
1.258925,0.584583,0.513025,0.442837,0.376756,0.316941,0.264395,0.219138,0.180759,0.148643,0.122062,0.100324,0.083355,0.071663,0.065106,0.062191,0.061130,0.060780,0.060676,0.060655,0.060653,0.060653
1.584893,0.646235,0.575946,0.504410,0.434578,0.369165,0.310203,0.258534,0.214137,0.176565,0.145166,0.119246,0.098713,0.084234,0.075812,0.071766,0.070088,0.069472,0.069275,0.069220,0.069209,0.069209
1.995262,0.704238,0.637900,0.567296,0.495820,0.426385,0.361667,0.303560,0.252782,0.209248,0.172465,0.141820,0.117331,0.099813,0.089300,0.083923,0.081454,0.080437,0.080094,0.079997,0.079975,0.079971
2.511886,0.756321,0.696561,0.629515,0.558640,0.487257,0.418264,0.354267,0.297025,0.247145,0.204461,0.168511,0.139472,0.118409,0.105465,0.098535,0.095086,0.093507,0.092912,0.092732,0.092687,0.092677
3.162278,0.801222,0.749571,0.688787,0.621085,0.549981,0.478734,0.410216,0.346965,0.290605,0.241610,0.199828,0.165648,0.140461,0.124611,0.115806,0.111148,0.108836,0.107866,0.107538,0.107453,0.107438
3.981072,0.838903,0.795487,0.742688,0.680916,0.612610,0.541322,0.470252,0.402244,0.339766,0.284287,0.236250,0.196400,0.166533,0.147283,0.136248,0.130148,0.126911,0.125440,0.124895,0.124736,0.124705
5.011872,0.870043,0.834128,0.789613,0.735674,0.672950,0.604092,0.532667,0.461814,0.394359,0.332671,0.278160,0.232156,0.196991,0.173761,0.160054,0.152217,0.147831,0.145667,0.144782,0.144496,0.144429
6.309573,0.895525,0.866117,0.829228,0.783600,0.728528,0.664889,0.595532,0.524017,0.453430,0.386559,0.325766,0.273320,0.232289,0.204422,0.187518,0.177611,0.171853,0.168821,0.167476,0.166997,0.166865
7.943282,0.916229,0.892323,0.862082,0.824199,0.777446,0.721250,0.656736,0.586934,0.515377,0.445099,0.378924,0.320116,0.272761,0.239570,0.218856,0.206456,0.199071,0.194968,0.192988,0.192208,0.191969
10.000000,0.932966,0.913635,0.889030,0.857935,0.819040,0.771152,0.713844,0.648497,0.578304,0.506757,0.436894,0.372460,0.318620,0.279433,0.254181,0.238780,0.229455,0.224074,0.221301,0.220107,0.219698
12.589254,0.946444,0.930873,0.910964,0.885641,0.853674,0.813748,0.764716,0.706313,0.640179,0.569656,0.498219,0.429680,0.369775,0.324113,0.293568,0.274549,0.262902,0.256017,0.252271,0.250514,0.249846
15.848932,0.957264,0.944760,0.928717,0.908213,0.882156,0.849297,0.808323,0.758139,0.698665,0.631807,0.561045,0.490405,0.425617,0.373429,0.336880,0.313541,0.299114,0.290444,0.285534,0.283067,0.282037
19.952623,0.965931,0.955914,0.943026,0.926495,0.905382,0.878572,0.844801,0.802762,0.751425,0.690916,0.623412,0.552848,0.484897,0.426825,0.383831,0.355434,0.337668,0.326881,0.320617,0.317290,0.315773
25.118864,0.972861,0.964851,0.954522,0.941238,0.924207,0.902468,0.874885,0.840183,0.797064,0.744579,0.683075,0.615092,0.545938,0.483223,0.433890,0.399795,0.378053,0.364748,0.356884,0.352526,0.350394
31.622777,0.978395,0.971998,0.963737,0.953088,0.939396,0.921850,0.899469,0.871095,0.835443,0.791229,0.737581,0.674937,0.606889,0.541075,0.486058,0.446000,0.419649,0.403330,0.393583,0.388033,0.385155
39.810717,0.982809,0.977706,0.971108,0.962588,0.951609,0.937498,0.919423,0.896382,0.867199,0.830577,0.785212,0.729921,0.665675,0.598759,0.539101,0.493255,0.461876,0.442020,0.430037,0.423085,0.419321
50.118723,0.986326,0.982259,0.976996,0.970190,0.961404,0.950085,0.935542,0.916924,0.893205,0.863193,0.825520,0.778216,0.719948,0.654452,0.591680,0.540595,0.504076,0.480227,0.465600,0.457004,0.452203
63.095734,0.989126,0.985888,0.981693,0.976263,0.969243,0.960182,0.948513,0.933526,0.914350,0.889937,0.859009,0.819371,0.768216,0.706492,0.642598,0.587133,0.545566,0.517448,0.499779,0.489236,0.483226
79.432823,0.991356,0.988778,0.985437,0.981108,0.975506,0.968266,0.958923,0.946894,0.931450,0.911700,0.886510,0.853761,0.809945,0.753690,0.690841,0.632235,0.585827,0.553226,0.532185,0.519381,0.511941
100.000000,0.993129,0.991078,0.988419,0.984971,0.980505,0.974726,0.967259,0.957625,0.945225,0.929311,0.908914,0.882119,0.845288,0.795433,0.735574,0.675408,0.624653,0.587376,0.562572,0.547146,0.538020
125.892541,0.994539,0.992908,0.990792,0.988048,0.984491,0.979883,0.973922,0.966220,0.956286,0.943504,0.927058,0.905289,0.874784,0.831689,0.776397,0.716362,0.662047,0.619987,0.590986,0.572532,0.561427
158.489319,0.995660,0.994364,0.992681,0.990497,0.987665,0.983995,0.979241,0.973092,0.965149,0.954906,0.941690,0.924095,0.899089,0.862582,0.812933,0.754798,0.698082,0.651403,0.617797,0.595797,0.582309
199.526231,0.996552,0.995521,0.994183,0.992446,0.990193,0.987271,0.983483,0.978579,0.972236,0.964044,0.953449,0.939283,0.918941,0.888529,0.845135,0.790566,0.732905,0.682053,0.643541,0.617453,0.601092
251.188643,0.997260,0.996441,0.995377,0.993996,0.992204,0.989878,0.986863,0.982955,0.977896,0.971353,0.962876,0.951504,0.935047,0.910014,0.872930,0.823249,0.766420,0.712334,0.668854,0.638155,0.618351
316.227766,0.997823,0.997172,0.996327,0.995229,0.993804,0.991954,0.989554,0.986443,0.982411,0.977192,0.970420,0.961311,0.948051,0.927625,0.896526,0.852590,0.798388,0.742442,0.694282,0.658568,0.634754
398.107171,0.998271,0.997753,0.997081,0.996209,0.995076,0.993605,0.991696,0.989220,0.986009,0.981849,0.976446,0.969163,0.958512,0.941950,0.916231,0.878343,0.828328,0.772298,0.720238,0.679306,0.650913
501.187234,0.998626,0.998215,0.997681,0.996988,0.996087,0.994918,0.993400,0.991430,0.988874,0.985561,0.981255,0.975440,0.966905,0.953538,0.932479,0.900479,0.855729,0.801509,0.746858,0.700897,0.667458
630.957344,0.998909,0.998582,0.998158,0.997607,0.996891,0.995961,0.994754,0.993188,0.991155,0.988518,0.985088,0.980450,0.973624,0.962873,0.945754,0.919157,0.880220,0.829559,0.774045,0.723681,0.684899
794.328235,0.999133,0.998874,0.998536,0.998099,0.997530,0.996791,0.995832,0.994586,0.992969,0.990871,0.988141,0.984445,0.978994,0.970370,0.956527,0.934671,0.901545,0.855718,0.801296,0.747750,0.703706
1000.000000,0.999311,0.999105,0.998837,0.998489,0.998037,0.997450,0.996688,0.995698,0.994412,0.992744,0.990571,0.987628,0.983280,0.976377,0.965228,0.947413,0.919739,0.879511,0.828058,0.772974,0.724159
